level=warn ts=2025-09-25T08:19:26.415994017Z caller=main.go:130 msg="-- CONFIGURATION WARNINGS --"
level=warn ts=2025-09-25T08:19:26.416056807Z caller=main.go:136 msg="Local backend will not correctly retrieve traces with a distributed deployment unless all components have access to the same disk. You should probably be using object storage as a backend."
level=info ts=2025-09-25T08:19:26.689980559Z caller=main.go:114 msg="Starting Tempo" version="(version=v2.8.2, branch=HEAD, revision=6b9261586)" target=distributor
level=info ts=2025-09-25T08:19:26.694977557Z caller=server.go:265 msg="server listening on addresses" http=[::]:3200 grpc=[::]:9095
ts=2025-09-25T08:19:26Z level=info msg="OTel Shim Logger Initialized" component=tempo
level=info ts=2025-09-25T08:19:26.796605978Z caller=memberlist_client.go:463 msg="Using memberlist cluster label and node name" cluster_label=tempo.monitoring node=tempo-distributor-544497c4bc-4nw27-e30bb777
level=info ts=2025-09-25T08:19:26.890019305Z caller=module_service.go:82 msg=starting module=internal-server
level=info ts=2025-09-25T08:19:26.890083682Z caller=module_service.go:82 msg=starting module=server
level=info ts=2025-09-25T08:19:26.89019773Z caller=module_service.go:82 msg=starting module=memberlist-kv
level=info ts=2025-09-25T08:19:26.890229859Z caller=module_service.go:82 msg=starting module=usage-report
level=info ts=2025-09-25T08:19:26.890283842Z caller=module_service.go:82 msg=starting module=ring
level=info ts=2025-09-25T08:19:26.890282419Z caller=module_service.go:82 msg=starting module=overrides
level=info ts=2025-09-25T08:31:41.054797355Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:32:11.053161279Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:32:41.051584281Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:33:11.051282971Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:33:41.049221266Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:34:11.046372231Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:34:41.045812585Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:35:11.045443813Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:35:41.043492587Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:36:11.042167381Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:36:41.040177011Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:37:11.039112323Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:37:41.038530132Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:38:11.036073937Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:38:41.034715568Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:39:11.033513738Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:39:41.031606339Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:40:11.030616231Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:40:41.029226286Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:41:11.027051995Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:41:41.026767319Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:42:11.023891675Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:42:41.023391382Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:43:11.02184129Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:43:41.020197905Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:44:11.018359097Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:44:41.016879346Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:45:11.015508418Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:45:41.013963935Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:46:11.012245108Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:46:41.01068474Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:47:11.00987282Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:47:41.008315298Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:48:11.007088612Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:48:41.004359729Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:49:11.003234089Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:49:41.001758273Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:50:11.00109363Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:50:40.998204066Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:51:10.996651283Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:51:40.995665546Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:52:10.992962324Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:52:40.992239013Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:53:10.991601027Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
